Year,StateCode,StateAbb,CountyCode,CountyName,CommodityCode,CommodityName,InsurancePlanCode,InsurancePlanAbb,CoverageCategory,StageCode,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,YearOfLoss,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,NetEndorsedAcres,Liability,TotalPremium,ProducerPaidPremium,Subsidy,PrivateSubsidy,AdditionalSubsidy,EFAPremiumDiscount,NetAcresLoss,Indemnity,IndemnityByPremium
2012,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,44,Cold Wet Weather,5,MAY,2012,4,4,598.52,0,303550,8462.6,3469,4993.6,0,0,0,598.52,83650.6,9.88
2012,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,UH,93,Wildlife,5,MAY,2012,1,1,31.25,0,23512.5,442,181.25,260.75,0,0,0,6.85,5154,11.66
2012,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,93,Wildlife,5,MAY,2012,1,1,31.25,0,23512.5,442,181.25,260.75,0,0,0,55.65,16000,36.2
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,H ,12,Heat,6,JUN,2012,5,5,282,0,137041,3646.5,1485,2161.5,0,0,0,311.7,50633,13.89
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,UH,12,Heat,6,JUN,2012,2,2,86.9,0,42026,1538.5,664,874.5,0,0,0,57.2,28924,18.8
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,1,JAN,2012,8,8,618.65,0,264456,21280,9000,12280,0,0,0,621.75,264456,12.43
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,P2,31,Excess Moisture/Precipitation/Rain,3,MAR,2012,1,1,139,0,59276,7454,3876,3578,0,0,0,139.5,59276,7.95
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2012,3,3,243.5,0,105909,10091,4504,5587,0,0,0,243.5,105909,10.5
2012,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,R ,81,Plant Disease,5,MAY,2012,1,1,161.8,0,114784,2912,1048,1864,0,0,0,161.8,9514,3.27
2012,6,CA,101,Sutter                        ,55,RICE                          ,90,APH       ,A,H ,12,Heat,6,JUN,2012,1,1,27,0,14672,651,267,384,0,0,0,27,7164,11
2012,6,CA,101,Sutter                        ,55,RICE                          ,90,APH       ,A,H ,61,Wind/Excess Wind,6,JUN,2012,1,1,229,0,124691,6245,2810,3435,0,0,0,229,45069,7.22
2012,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,H ,12,Heat,7,JUL,2012,2,2,516,0,280638,21157,8374,12783,0,0,0,516,40006,1.89
2012,6,CA,113,Yolo                          ,18,RICE                          ,1,YP        ,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2012,2,2,412,0,163904,24573,10732,13841,0,0,0,412,163904,6.67
2012,6,CA,113,Yolo                          ,18,RICE                          ,2,RP        ,A,H ,61,Wind/Excess Wind,6,JUN,2012,2,2,470.4,0,239504,15074,6180,8894,0,0,0,470.4,17786,1.18
2012,6,CA,113,Yolo                          ,55,RICE                          ,90,APH       ,A,H ,61,Wind/Excess Wind,6,JUN,2012,1,1,130,0,72930,3925,1766,2159,0,0,0,130,7423,1.89
2012,6,CA,115,Yuba                          ,18,RICE                          ,3,RPHPE     ,A,PT,31,Excess Moisture/Precipitation/Rain,4,APR,2012,1,1,83.3,0,27784,2933,1320,1613,0,0,0,83.3,27784,9.47
2012,6,CA,115,Yuba                          ,18,RICE                          ,2,RP        ,A,H ,99,"Other (Snow, Lightning, Etc.)",8,AUG,2012,1,1,32,0,26037,1349,553,796,0,0,0,32,5142,3.81
2013,6,CA,7,Butte                         ,18,RICE                          ,2,RP        ,A,R ,61,Wind/Excess Wind,4,APR,2013,1,1,147.2,0,152344,4719,944,3775,0,0,0,51.5,3234,0.69
2013,6,CA,7,Butte                         ,18,RICE                          ,3,RPHPE     ,A,R ,71,Insects,4,APR,2013,1,1,46,0,37396,897,323,574,0,0,0,18.8,1181,1.32
2013,6,CA,7,Butte                         ,18,RICE                          ,3,RPHPE     ,A,R ,93,Wildlife,4,APR,2013,1,1,36,0,29266,702,253,449,0,0,0,20,1256,1.79
2013,6,CA,11,Colusa                        ,18,RICE                          ,1,YP        ,A,H ,61,Wind/Excess Wind,5,MAY,2013,1,1,184,0,175736,6981,3142,3839,0,0,0,184,27257,3.9
2013,6,CA,11,Colusa                        ,18,RICE                          ,1,YP        ,A,R ,93,Wildlife,5,MAY,2013,1,1,220.8,0,206919,7529,3388,4141,0,0,0,34.96,2195,0.29
2013,6,CA,21,Glenn                         ,18,RICE                          ,1,YP        ,A,H ,61,Wind/Excess Wind,5,MAY,2013,1,1,85.5,0,62285,1395,572,823,0,0,0,85.5,16233,11.64
2013,6,CA,47,Merced                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,3,MAR,2013,3,3,372.44,0,179323,11505,4695,6810,0,0,0,372.44,179323,15.59
2013,6,CA,49,Modoc                         ,55,RICE                          ,90,APH       ,A,H ,93,Wildlife,7,JUL,2013,2,2,677.55,0,381502,88681,38591.5,50089.5,0,0,0,1023.9,100993,1.14
2013,6,CA,49,Modoc                         ,55,RICE                          ,90,APH       ,A,UH,93,Wildlife,7,JUL,2013,2,2,604.35,0,339009,81148,35502.5,45645.5,0,0,0,258,95722,1.18
2013,6,CA,61,Placer                        ,18,RICE                          ,1,YP        ,A,H ,12,Heat,6,JUN,2013,1,1,154,0,122341,4410,1808,2602,0,0,0,154,1959,0.44
2013,6,CA,61,Placer                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,1,JAN,2013,5,5,370.9,0,177194,11112,4615,6497,0,0,0,370.9,177194,15.95
2013,6,CA,61,Placer                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,5,MAY,2013,1,1,78.8,0,37560,2041,837,1204,0,0,0,78.8,37560,18.4
2013,6,CA,61,Placer                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,2,FEB,2013,1,1,135,0,67866,6671,3002,3669,0,0,0,135,67866,10.17
2013,6,CA,77,San Joaquin                   ,18,RICE                          ,1,YP        ,A,H ,93,Wildlife,5,MAY,2013,4,4,241.9835,0,222146,15348,8192,7156,0,0,0,241.9835,41778,2.72
2013,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,21,Hail,8,AUG,2013,2,2,80.28,0,47610,1457.4,597.4,860,0,0,0,80.28,26194,17.97
2013,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,61,Wind/Excess Wind,8,AUG,2013,3,3,381.12,0,230616,6926.6,2839.6,4087,0,0,0,381.12,123213,17.79
2013,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,61,Wind/Excess Wind,9,SEP,2013,1,1,70.59,0,41644.5,1293,530.1,762.9,0,0,0,70.59,4684.2,3.62
2013,6,CA,89,Shasta                        ,55,RICE                          ,90,APH       ,A,H ,99,"Other (Snow, Lightning, Etc.)",9,SEP,2013,1,1,164.71,0,97170.5,3017,1236.9,1780.1,0,0,0,164.71,10929.8,3.62
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,H ,12,Heat,6,JUN,2013,4,4,247.7,0,178236,5663,2454,3209,0,0,0,247.7,47413,8.37
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,H ,12,Heat,7,JUL,2013,1,1,37,0,17015,416,171,245,0,0,0,37,5155,12.39
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,2,FEB,2013,5,5,246.8,0,107949,4960,2034,2926,0,0,0,246.8,107949,21.76
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,5,MAY,2013,2,2,71.03,0,28899.7,2298.1,1296.2,1001.9,0,0,0,71.03,28899.7,12.58
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,C,P2,13,Failure of Irrigation Supply,1,JAN,2013,2,2,121.1,0,17816,616,0,616,0,0,0,121.1,17816,28.92
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,4,APR,2013,1,1,65.8,0,35506,2238,1007,1231,0,0,0,65.8,35506,15.87
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,P2,13,Failure of Irrigation Supply,1,JAN,2013,4,4,283.6262,0,65104,2675,934,1741,0,0,0,283.6262,65104,24.34
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,1,JAN,2013,21,21,1158.1095,0,554753,28113,11678,16435,0,0,0,1158.1095,554753,19.73
2013,6,CA,101,Sutter                        ,18,RICE                          ,1,YP        ,A,PT,13,Failure of Irrigation Supply,10,OCT,2013,1,1,50,0,18243,549,181,368,0,0,0,50,18243,33.23
