Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
1999,113,Yolo                          ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,50,17908,338,50,4397,13.01
1999,115,Yuba                          ,44,Cold Wet Weather                                                                                    ,7,JUL,2,2,361.1,69037,1355,361.1,20089,14.83
1999,115,Yuba                          ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,77,44344,1436,77,11732,8.17
2000,7,Butte                         ,43,Cold Winter                                                                                         ,6,JUN,1,1,22,9468,634.4,27.84,9902.8,15.61
2000,7,Butte                         ,43,Cold Winter                                                                                         ,6,JUN,1,1,22,9468,634.4,16.16,6840.4,10.78
2000,7,Butte                         ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,148.5,57693,1869,178,37876,20.27
2000,7,Butte                         ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,37.5,14569,472,8,2745,5.82
2000,7,Butte                         ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,33,14202,951.6,24.24,10260.6,10.78
2000,7,Butte                         ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,131.75,55731,3578.6,140.51,25883.2,7.23
2000,11,Colusa                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,1,1,279.5,120483,7411,279.5,59381,8.01
2000,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,8,AUG,1,1,190.2,82733,4468,190.2,15401,3.45
2000,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,5,MAY,1,1,68.73,34217,1763,16.65,466,0.26
2000,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,6,JUN,1,1,57.1,24146,1543,57.1,3065,1.99
2000,11,Colusa                        ,61,Wind/Excess Wind                                                                                    ,8,AUG,1,1,207.2,15986,499,207.2,8363,16.76
2000,11,Colusa                        ,81,Plant Disease                                                                                       ,9,SEP,1,1,79.07,24061,923,79.075,10920,11.83
2000,61,Placer                        ,12,Heat                                                                                                ,7,JUL,1,1,389.1,153377,10524,389.1,32625,3.1
2000,61,Placer                        ,93,Wildlife                                                                                            ,5,MAY,1,1,321.9,106694,3393,35,980,0.29
2000,77,San Joaquin                   ,12,Heat                                                                                                ,6,JUN,1,1,140.7,41992,2939,140.7,5801,1.97
2000,77,San Joaquin                   ,12,Heat                                                                                                ,5,MAY,1,1,44.4,14694.6,423.3,44.61,12146.4,28.69
2000,77,San Joaquin                   ,93,Wildlife                                                                                            ,5,MAY,1,1,103.6,34287.4,987.7,104.09,28341.6,28.69
2000,99,Stanislaus                    ,12,Heat                                                                                                ,6,JUN,1,1,102.7,36510,2315,102.7,2785,1.2
2000,101,Sutter                        ,12,Heat                                                                                                ,7,JUL,3,3,123.942,37198.2,1832.6,9.18,2413.8,1.32
2000,101,Sutter                        ,12,Heat                                                                                                ,7,JUL,3,3,123.942,37198.2,1832.6,238.72,2525.6,1.38
2000,101,Sutter                        ,43,Cold Winter                                                                                         ,4,APR,1,1,44.44,9547,404,44.44,1169,2.89
2000,101,Sutter                        ,44,Cold Wet Weather                                                                                    ,4,APR,1,1,66.66,14321,606,66.66,1753,2.89
2000,101,Sutter                        ,44,Cold Wet Weather                                                                                    ,6,JUN,1,1,211,82417,2831,211,140,0.05
2000,101,Sutter                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,3,3,495.768,148792.8,7330.4,36.72,9655.2,1.32
2000,101,Sutter                        ,99,"Other (Snow,Lightning,etc)                                                                        ",0,   ,3,3,495.768,148792.8,7330.4,164.8,-21436,-2.92
2000,101,Sutter                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,3,3,495.768,148792.8,7330.4,790.08,31538.4,4.3
2000,113,Yolo                          ,12,Heat                                                                                                ,5,MAY,2,2,63.2,17260,944.8,63.2,11209.2,11.86
2000,113,Yolo                          ,12,Heat                                                                                                ,6,JUN,1,1,28.8,10579.8,371.4,28.8,10259.4,27.62
2000,113,Yolo                          ,12,Heat                                                                                                ,5,MAY,1,1,44,5297.2,104.8,44,1372,13.09
2000,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,1,1,66,7945.8,157.2,66,2058,13.09
2000,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,3,3,840.7,373832,23660,840.7,60065,2.54
2000,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,3,3,114,32943.2,1664.8,114,23653.4,14.21
2000,113,Yolo                          ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,1,1,324.4,92683,3892,96.8,14887,3.83
2000,113,Yolo                          ,44,Cold Wet Weather                                                                                    ,7,JUL,3,3,1463.45,656445,38730.5,1578.3,470905,12.16
2000,113,Yolo                          ,44,Cold Wet Weather                                                                                    ,7,JUL,1,0,154.85,69459.5,4098,81.1,0,0
2000,113,Yolo                          ,44,Cold Wet Weather                                                                                    ,7,JUL,2,2,300.8,134926.5,7960.5,259.7,96766,12.16
